Date,Roti Amount,Basmathi rice Amount,Samba rice Amount,Cooking oil Amount,Chicken Amount,Fish Amount,Prawns Amount,Cuttlefish Amount,Egg Amount,Salt Amount,Pepper Amount,Chilie flakes Amount,Sausage Amount,Cheese Amount,Fresh milk Amount,Carrot Amount,Leeks Amount,Cabage Amount,Pinnaple Amount,Sesame oil Amount,Tomato ketchup Amount,Dark sauce Amount,Oyster sauce Amount,Roti Amount (Unit),Basmathi rice Amount (Unit),Samba rice Amount (Unit),Cooking oil Amount (Unit),Chicken Amount (Unit),Fish Amount (Unit),Prawns Amount (Unit),Cuttlefish Amount (Unit),Egg Amount (Unit),Salt Amount (Unit),Pepper Amount (Unit),Chilie flakes Amount (Unit),Sausage Amount (Unit),Cheese Amount (Unit),Fresh milk Amount (Unit),Carrot Amount (Unit),Leeks Amount (Unit),Cabage Amount (Unit),Pinnaple Amount (Unit),Sesame oil Amount (Unit),Tomato ketchup Amount (Unit),Dark sauce Amount (Unit),Oyster sauce Amount (Unit)
2024-02-25,0.0,330.0,375.0,100.0,150.0,50.0,45.0,30.0,6000,0.0,0.0,0.0,1700,0,0.0,60.0,85.0,40.0,4.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-02-27,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-03,0.0,390.0,370.0,110.0,150.0,30.0,40.0,25.0,5800,130.0,130.0,120.0,1500,400,30.0,45.0,70.0,35.0,2.0,90.0,40.0,8.0,10.0,,kg,kg,L,kg,kg,kg,kg,,kg,kg,kg,,,L,kg,kg,kg,kg,L,L,L,L
2024-03-04,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-07,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-10,200.0,300.0,355.0,90.0,160.0,35.0,30.0,25.0,5700,0.0,0.0,0.0,1600,0,0.0,50.0,75.0,30.0,2.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-03-13,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-16,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-17,0.0,350.0,375.0,80.0,140.0,30.0,32.0,30.0,5750,0.0,0.0,0.0,1650,0,0.0,55.0,77.0,30.0,3.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-03-19,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-22,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-03-24,0.0,370.0,390.0,120.0,200.0,60.0,45.0,35.0,5800,0.0,0.0,0.0,1700,0,0.0,55.0,77.0,40.0,7.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-03-25,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
