product,mae,rmse,r2
Salt Amount,17.69303965466171,17.700784638490138,-11.532711072728336
Pepper Amount,12.595871183955559,12.813974305307383,-25.271669999532456
Chilie flakes Amount,17.935944388976615,18.359205577381324,0.0
Cheese Amount,5.680005726745236,5.681223676557244,-4.164208394091938
Fresh milk Amount,5.8922875648121416,6.032391657358785,-4.822359857243498
Sesame oil Amount,1.025817848569385,1.2133673045834807,-0.47226021583218114
Tomato ketchup Amount,4.861433637596161,5.39277625183644,0.0
Dark sauce Amount,1.00078953247336,1.020741910546015,-3.167656191780514
Oyster sauce Amount,2.2699518927896873,2.3115391650515087,0.0
